CPIAUCSL_PC1,UNRATE,FEDFUNDS,T10Y2Y,High,Low,SP500 Close,Volume,ADX,RSI,BB width
1978-06-01,7.43802,5.9,7.6,0.22272727272727275,98.47499951449308,96.95409115878019,97.66181807084517,30285909.09090909,,50.770465741017276,0.18414805947616386
1978-07-01,7.73026,6.2,7.81,0.1505,97.76550025939942,96.34349899291992,97.19249992370605,27074500.0,,49.773639993023714,0.1802460224100387
1978-08-01,7.85597,5.9,8.04,0.04434782608695649,104.83478247601053,103.05695608387823,103.92173999288808,37606521.73913044,,61.45842892596812,0.17766755059696898
1978-09-01,8.48287,6.0,8.45,-0.14900000000000002,104.79350090026855,103.09700050354004,103.85699996948242,33614500.0,24.479538877610473,61.31064861008917,0.17781182094926865
1978-10-01,8.92857,5.8,8.96,-0.21142857142857144,101.68772680109197,99.73772742531516,100.58363515680486,31015454.545454547,23.442602229874204,54.212561784584814,0.17712786508982684
1978-11-01,8.87097,5.9,9.76,-0.6194999999999999,95.5604763939267,93.84237997872489,94.70952315557571,24505238.095238097,22.49932849344974,44.30082598603505,0.17471081953327852
1978-12-01,8.98876,6.0,10.03,-0.709,96.83600044250488,95.27649955749511,96.10749969482421,24622000.0,21.300246815196825,46.79400081814507,0.17323941136969062
1979-01-01,9.2504,5.9,10.07,-0.7604545454545456,100.44272752241655,98.8649999445135,99.70500113747336,27987727.272727273,20.20968982574507,52.66572306322445,0.17451051685138363
1979-02-01,9.84127,5.9,10.06,-0.6183333333333334,98.92578928094161,97.56526344700863,98.2294737163343,25037368.42105263,18.883975811268364,50.217822518033486,0.1733364528101605
1979-03-01,10.25237,5.8,10.09,-0.6722727272727272,100.77772799405184,99.3254543651234,100.11227278275923,29536363.636363637,18.071946945362964,53.206587776468474,0.1732159596282297
1979-04-01,10.48513,5.8,10.01,-0.5965,102.76999931335449,101.3495002746582,102.06600036621094,31032500.0,17.74487999136294,56.14861031643373,0.18017082807582696
1979-05-01,10.69767,5.6,10.24,-0.5314285714285715,100.470909465443,99.0663632479581,99.727727023038,28351818.181818184,16.842313594530886,51.93963725378953,0.18211444524170675
1979-06-01,11.07692,5.7,10.29,-0.3066666666666667,102.38380940755208,100.93666730608258,101.72761862618583,35033809.52380952,16.42776514907529,55.04365363554704,0.18447686797791962
1979-07-01,11.45038,5.7,10.47,-0.18761904761904763,103.32380857921783,101.86809394473121,102.71142832438152,32416190.476190478,16.246236310179704,56.53097953291092,0.1882287695394285
1979-08-01,11.83612,6.0,10.94,-0.42913043478260865,107.97130385689114,106.44739101244056,107.35608639924422,35871739.13043478,16.973383942368283,62.78994771394822,0.20269769925142841
1979-09-01,11.8797,5.9,11.43,-0.721578947368421,109.49315844084087,107.6347367136102,108.59684231406764,37575789.473684214,17.90528225750121,64.26998736023286,0.20649088943142305
1979-10-01,12.07154,6.0,13.77,-1.1904545454545454,105.6113049051036,103.52739052150561,104.47304269541864,37301304.347826086,17.616059335255525,56.2603737627629,0.18731992913455062
1979-11-01,12.59259,5.9,13.18,-1.1552631578947368,104.48809596470424,102.6519037882487,103.66381000337147,31126190.476190478,17.121855763983085,54.816674986334434,0.1586156452359122
1979-12-01,13.25479,6.0,13.78,-1.0044999999999997,108.59800033569336,106.89400062561035,107.7759994506836,35510500.0,17.447616992963997,60.3804312652327,0.1516731636687857
1980-01-01,13.86861,6.3,13.82,-0.6959090909090908,112.08636370572177,109.60409060391513,110.86818140203303,52647272.72727273,18.315535519169305,63.97292127246429,0.16647496871631906
1980-02-01,14.16185,6.3,14.13,-1.0036842105263157,116.67100105285644,113.93500061035157,115.33900108337403,47826500.0,19.75081914044481,68.43015196893674,0.19476536136379177
1980-03-01,14.59227,6.3,17.19,-2.1357142857142852,106.33238183884393,103.33857109433129,104.68619065057663,41735714.28571428,18.735316333900585,51.940718197432304,0.18763050498351677
1980-04-01,14.58924,6.9,17.61,-1.0285714285714287,104.12142799014137,101.77428508940197,102.96666753859748,32101904.76190476,17.518055272710658,49.85251012310382,0.18765726867318566
1980-05-01,14.42577,7.5,10.98,0.7314285714285715,108.64571489606585,106.51190512520927,107.69428543817429,36424761.9047619,17.10256459111022,55.18695585000446,0.19097380526125923
1980-06-01,14.26593,7.6,9.47,1.05,115.62285759335472,113.40952337355841,114.54666646321614,39507619.047619045,17.628857037180662,61.568316999407024,0.20911593076580268
1980-07-01,13.15068,7.8,9.03,1.2181818181818183,120.83999980579723,118.51681795987216,119.83272760564631,46444090.90909091,18.68029268245687,65.63383015986243,0.22737890039626074
1980-08-01,12.89009,7.7,9.61,0.5742857142857142,124.61714245024181,122.35761951264881,123.49666631789435,45983809.52380952,20.020056541721697,68.14890566615375,0.2542348971494049
1980-09-01,12.76882,7.5,10.87,-0.06619047619047617,127.81904711042132,125.0914292108445,126.51190294538226,50367142.85714286,21.551237336778076,70.08894069916313,0.2894962929801294
1980-10-01,12.63298,7.5,12.81,-0.3368181818181818,131.6630458002505,128.7860863727072,130.22173840066662,44860434.782608695,23.293763435421855,72.3226547503634,0.3224076423067204
1980-11-01,12.63158,7.5,15.85,-0.8294117647058823,137.1272235446506,133.90833282470703,135.6544426812066,54895000.0,25.317499454672866,75.23882655182372,0.3659837248251314
1980-12-01,12.35371,7.2,18.9,-1.2327272727272727,135.09045271439985,131.96590839732778,133.48318204012784,46620454.54545455,26.77788232330153,71.97482849704312,0.3896768145451341
1981-01-01,11.79487,7.5,19.08,-0.6938095238095239,134.57285781133743,131.58857218424478,132.96571277436755,45500952.38095238,28.050401417523187,71.18225976830954,0.3967059116204828
1981-02-01,11.39241,7.4,15.93,-0.7244444444444446,129.63789488139906,126.97789523476048,128.3952656796104,42963684.21052632,28.245576522791772,64.4334598168782,0.3907976520930825
1981-03-01,10.61174,7.4,14.7,-0.4527272727272727,134.67681815407494,131.75272716175425,133.18499963933772,53387727.27272727,28.926422693102797,67.87129744447682,0.3908395139314847
1981-04-01,10.13597,7.2,15.72,-0.47190476190476194,135.80809456961495,133.10952468145462,134.42761811755952,53498571.428571425,29.664635495602973,68.7161388477549,0.39667272597448616
1981-05-01,9.79192,7.5,18.52,-1.3575000000000002,132.91449966430665,130.45899963378906,131.72700042724608,45271500.0,29.785504160924923,64.7322026859281,0.39495172533703876
1981-06-01,9.69697,7.5,19.1,-1.0336363636363637,133.66136238791725,131.02090870250356,132.2777293812145,50044090.90909091,29.980761834884465,65.17560372158951,0.3809937161518527
1981-07-01,10.77482,7.2,19.04,-1.0731818181818185,130.3695463700728,127.96772662076083,129.1277268149636,43362272.72727273,29.505400682618163,60.49106053584953,0.3559185473818023
1981-08-01,10.81731,7.4,17.82,-1.3476190476190475,131.00809478759766,128.5633330572219,129.62952314104353,43835714.28571428,29.148252072279316,60.97229470297004,0.3375807082519829
1981-09-01,10.96544,7.6,15.87,-1.133809523809524,119.77047693161737,116.86857096354167,118.26952398390998,45673333.333333336,27.386192903328975,47.01173409496901,0.3256021659498798
1981-10-01,10.27155,7.9,15.08,-0.3947619047619048,121.03636446866122,118.41590881347656,119.79772706465288,45343636.36363637,25.5528236140724,48.712972970372334,0.32018886708186434
1981-11-01,9.57944,8.3,13.31,0.5111111111111111,124.0944995880127,121.64849967956543,122.9194995880127,49396000.0,24.072129547253432,52.09641306461699,0.28360562115149235
1981-12-01,8.91204,8.5,12.37,0.43409090909090914,124.87454570423473,122.84318161010742,123.79409096457742,43612272.72727273,22.81522135222119,53.03127685957575,0.23031757135431857
1982-01-01,8.25688,8.6,13.22,0.025999999999999975,118.58849906921387,116.07149925231934,117.27650032043456,48417000.0,21.785030056063444,45.850220889025586,0.1979087444515237
1982-02-01,7.61364,8.9,14.78,-0.39777777777777784,115.87473658511513,113.42315754137542,114.49526335063733,51167894.7368421,21.191876761632813,43.16416427764225,0.19807216405778066
1982-03-01,6.88488,9.0,14.68,-0.33304347826086955,112.14695607060972,109.55434749437416,110.84217370074728,55160434.782608695,21.137723225079245,39.861008667887894,0.2229193746281362
1982-04-01,6.62177,9.3,14.94,-0.3304761904761905,117.06333378383091,115.33714439755394,116.30714343843006,54118571.428571425,20.235105595094744,46.46160479810353,0.23359839625642126
1982-05-01,6.91193,9.4,14.45,-0.15450000000000003,116.96999969482422,115.99850044250488,116.35299949645996,51323000.0,19.396960652966275,46.51465114656246,0.2439787264036372
1982-06-01,7.18232,9.6,14.15,-0.16590909090909095,110.32590866088867,109.20863619717684,109.69772720336914,50478636.36363637,19.51382402757375,40.27724908657823,0.2669784929866292
1982-07-01,6.55738,9.8,12.59,0.14904761904761904,109.9433328537714,108.85047658284505,109.37666684105282,54532857.14285714,19.66588669713749,39.998595740975816,0.2767102600365489
1982-08-01,5.96529,9.8,10.12,0.7313636363636363,110.49727283824573,108.46227264404297,109.65136406638406,76035000.0,19.696777084313737,40.378661241228784,0.2842027342659306
1982-09-01,4.94092,10.1,10.31,0.5557142857142857,123.28047725132534,121.58761887323288,122.43333289736793,73716190.47619048,18.911740671772655,54.743635771855395,0.27330461469625505
1982-10-01,5.03212,10.4,9.71,0.7190000000000001,133.65714336576917,131.1095228649321,132.66047741117933,98502857.14285715,19.31303049032758,62.52396677701233,0.2802570415680335
1982-11-01,4.47761,10.8,9.2,0.7547368421052633,139.19952319917223,136.79190572102866,138.10095287504652,88430476.1904762,20.174376264736033,65.8840006600788,0.2924541571375374
1982-12-01,3.82572,10.8,8.95,0.8777272727272728,140.4849992231889,138.6331821788441,139.3659113103693,76458181.81818181,21.082743379029836,66.63308409155682,0.3049958097977682
1983-01-01,3.70763,10.4,8.68,1.1295238095238094,145.27857244582404,143.18428402855284,144.26714215959822,88457142.85714285,22.317672957685442,69.43355231914377,0.33564702333306407
1983-02-01,3.48469,10.4,8.51,1.0884210526315792,147.6136844032689,145.74947317023026,146.79684046695107,85023684.21052632,23.64523104498426,70.79595607164873,0.3690611501382276
1983-03-01,3.59029,10.3,8.77,0.8504347826086956,152.555652120839,151.00869551948878,151.87652123492697,82692173.91304348,25.239354891885096,73.36335177471423,0.41480706068103407
1983-04-01,4.0,10.2,8.8,0.8320000000000002,158.17300033569336,156.59450073242186,157.7120002746582,89343500.0,27.085746670470822,75.97621147260294,0.46892310093420025
1983-05-01,3.44108,10.1,8.63,0.8909523809523808,164.8857153029669,163.21857198079428,164.0971432640439,93006190.47619048,29.18034287670449,78.4653708729864,0.5235533240625816
1983-06-01,2.47423,10.1,8.98,0.6668181818181819,166.97090842507103,165.50954645330256,166.36909138072622,89720909.0909091,31.234663152951516,79.28771153266608,0.5687014622842286
